aX,aY,aZ,gX,gY,gZ
-1.1842,0.1163,-0.7748,-17.6392,89.9048,-10.7422
-1.2439,0.1219,-0.7653,-18.1885,119.2627,-5.8594
-1.3185,0.0796,-0.5813,-8.0566,139.4653,2.5635
-1.3126,-0.0010,-0.2554,2.3804,150.6348,3.7231
-1.2549,-0.0271,-0.2223,8.0566,154.2358,2.5635
-1.1893,-0.0502,-0.2654,12.4512,159.7290,-3.2349
-1.1183,-0.0505,-0.3706,16.3574,168.1519,-9.8877
-1.0232,-0.0977,-0.8427,-5.0049,204.4678,-25.7568
-1.0377,-0.1060,-1.0303,-13.2446,237.1216,-36.9873
-1.1731,-0.0701,-1.0179,-9.7656,263.1836,-32.2266
-1.3145,-0.0275,-0.8441,1.9531,274.3530,-20.2026
-1.3428,-0.0114,-0.3020,13.9160,272.8271,-11.9629
